nconst,primaryName
nm0000454,Dennis Hopper
nm0000457,John Hurt
nm0000458,William Hurt
nm0000459,Timothy Hutton
nm0000460,Jeremy Irons
nm0000461,Michael Ironside
nm0000464,Jim Jarmusch
nm0000465,Ron Jeremy
nm0000467,Don Johnson
nm0000469,James Earl Jones
nm0000470,Jeffrey Jones
nm0000471,Raul Julia
nm0000472,Boris Karloff
nm0000474,Michael Keaton
nm0000479,Walter Koenig
nm0000480,Elias Koteas
nm0000483,Christopher Lambert
nm0000485,Fritz Lang
nm0000488,Brandon Lee
nm0000489,Christopher Lee
nm0000490,Spike Lee
nm0000491,John Leguizamo
nm0000493,Jack Lemmon
nm0000494,Robert Sean Leonard
nm0000498,Matthew Lillard
nm0000500,Richard Linklater
nm0000501,Ray Liotta
nm0000502,Christopher Lloyd
nm0000507,Rob Lowe
nm0000509,Bela Lugosi
nm0000513,William H. Macy
nm0000514,Michael Madsen
nm0000516,Lee Majors
nm0000518,John Malkovich
nm0000527,Walter Matthau
nm0000530,Andrew McCarthy
nm0000532,Malcolm McDowell
nm0000536,Robert Duncan McNeill
nm0000537,Steve McQueen
nm0000538,Colm Meaney
nm0000543,Sal Mineo
nm0000546,Matthew Modine
nm0000547,Alfred Molina
nm0000549,Roger Moore
nm0000551,Dermot Mulroney
nm0000552,Eddie Murphy
nm0000553,Liam Neeson
nm0000554,Sam Neill
nm0000555,Judd Nelson
nm0000558,Leslie Nielsen
nm0000559,Leonard Nimoy
nm0000560,Nick Nolte
nm0000562,Jeremy Northam
nm0000563,Chris O'Donnell
nm0000564,Peter O'Toole
nm0000568,Frank Oz
nm0000574,Jason Patric
nm0000576,Sean Penn
nm0000577,George Peppard
nm0000578,Anthony Perkins
nm0000579,Ron Perlman
nm0000580,Luke Perry
nm0000582,Joe Pesci
nm0000585,Robert Picardo
nm0000587,Donald Pleasence
nm0000591,Roman Polanski
nm0000592,Pete Postlethwaite
nm0000594,Jason Priestley
nm0000596,Jonathan Pryce
nm0000597,Bill Pullman
nm0000598,Dennis Quaid
nm0000601,Harold Ramis
nm0000602,Robert Redford
nm0000604,John C. Reilly
nm0000605,Brad Renfro
nm0000606,Jean Reno
nm0000607,Paul Reubens
nm0000608,Burt Reynolds
nm0000609,Ving Rhames
nm0000610,Giovanni Ribisi
nm0000614,Alan Rickman
nm0000615,John Ritter
nm0000616,Eric Roberts
nm0000619,Tim Roth
nm0000620,Mickey Rourke
nm0000621,Kurt Russell
nm0000625,Fred Savage
nm0000626,John Sayles
nm0000628,Johnathon Schaech
nm0000630,Liev Schreiber
nm0000632,Jerry Seinfeld
nm0000633,Tom Selleck
nm0000634,Peter Sellers
nm0000635,Yahoo Serious
nm0000637,Tupac Shakur
nm0000638,William Shatner
nm0000640,Martin Sheen
nm0000641,Gary Sinise
nm0000643,Tom Skerritt
nm0000648,Wesley Snipes
nm0000649,Paul Sorvino
nm0000652,James Spader
nm0000653,Brent Spiner
nm0000654,Terence Stamp
nm0000655,Eric Stoltz
nm0000657,David Strathairn
nm0000661,Donald Sutherland
nm0000662,Kiefer Sutherland
nm0000664,Patrick Swayze
nm0000665,D.B. Sweeney
nm0000667,David Thewlis
nm0000669,Fred Thompson
nm0000671,Billy Bob Thornton
nm0000676,Chris Tucker
nm0000680,Casper Van Dien
nm0000681,Vince Vaughn
nm0000683,Gore Vidal
nm0000685,Jon Voight
nm0000686,Christopher Walken
nm0000687,J.T. Walsh
nm0000691,John Waters
nm0000693,Peter Weller
nm0000696,Wil Wheaton
