tconst,titleType,year,primaryTitle,originalTitle,runtimeMinutes,genres,averageRating,numVotes
tt0062994,movie,1968,Funny Girl,Funny Girl,151,"Biography,Comedy,Drama",7.4,17721
tt3859076,movie,2015,Truth,Truth,125,"Biography,Drama,History",6.8,17713
tt0159382,movie,1998,Croupier,Croupier,94,"Crime,Drama",7.1,17710
tt0062136,movie,1967,Playtime,Playtime,155,Comedy,7.9,17709
tt1337057,movie,2009,Rampage,Rampage,85,"Action,Crime,Thriller",6.2,17707
tt1322930,movie,2008,Alone,Issiz Adam,113,"Drama,Romance",6.8,17701
tt0437800,movie,2006,Akeelah and the Bee,Akeelah and the Bee,112,"Drama,Family",7.3,17699
tt0099558,movie,1991,Operation Condor,Fei ying gai wak,106,"Action,Adventure,Comedy",7.3,17699
tt4701724,movie,2018,Early Man,Early Man,89,"Adventure,Animation,Comedy",6.1,17698
tt2788716,movie,2014,Welcome to Me,Welcome to Me,87,"Comedy,Drama",5.9,17683
tt0110613,movie,1994,My Girl 2,My Girl 2,99,"Comedy,Drama,Family",5.2,17678
tt0393735,movie,2006,The Shaggy Dog,The Shaggy Dog,98,"Comedy,Family,Fantasy",4.4,17672
tt6116856,movie,2018,The Night Comes for Us,The Night Comes for Us,121,"Action,Thriller",7.0,17670
tt0102015,movie,1991,Hearts of Darkness: A Filmmaker's Apocalypse,Hearts of Darkness: A Filmmaker's Apocalypse,96,Documentary,8.1,17669
tt0110684,movie,1994,Nobody's Fool,Nobody's Fool,110,"Comedy,Drama",7.4,17665
tt2170667,movie,2014,Wheels,Wheels,115,Drama,9.2,17661
tt2486678,movie,2014,5 to 7,5 to 7,95,"Comedy,Drama,Romance",7.1,17661
tt2625810,movie,2015,Into the Forest,Into the Forest,101,"Drama,Sci-Fi,Thriller",5.8,17643
tt0056085,movie,1962,How the West Was Won,How the West Was Won,164,Western,7.1,17642
tt1753496,movie,2012,Resident Evil: Damnation,Biohazard: Damnation,100,"Action,Animation,Horror",6.5,17631
tt5997666,movie,2017,Jab Harry Met Sejal,Jab Harry Met Sejal,143,"Comedy,Drama,Romance",5.3,17630
tt2215477,movie,2013,Goliyon Ki Rasleela Ram-Leela,Goliyon Ki Rasleela Ram-Leela,150,"Drama,Musical,Romance",6.4,17629
tt0102004,movie,1991,The Hard Way,The Hard Way,111,"Action,Comedy,Crime",6.4,17619
tt0080569,movie,1980,Cruising,Cruising,102,"Crime,Drama,Mystery",6.4,17610
tt0396184,movie,2004,With Blood on My Hands: Pusher II,Pusher II,100,"Action,Crime,Drama",7.4,17608
tt0089606,movie,1985,My Life as a Dog,Mitt liv som hund,101,"Comedy,Drama",7.6,17605
tt0398027,movie,2005,Down in the Valley,Down in the Valley,108,"Drama,Romance,Thriller",6.4,17603
tt0064541,movie,1969,Kes,Kes,111,"Drama,Family",7.9,17601
tt0082377,movie,1981,The Final Conflict,The Final Conflict,108,Horror,5.6,17600
tt0279778,movie,2002,Divine Secrets of the Ya-Ya Sisterhood,Divine Secrets of the Ya-Ya Sisterhood,116,Drama,6.1,17598
tt0199683,movie,1999,Kikujiro,Kikujirô no natsu,122,"Comedy,Drama",7.8,17593
tt0406650,movie,2005,The Chumscrubber,The Chumscrubber,108,"Comedy,Drama",6.9,17589
tt0325537,movie,2003,Head of State,Head of State,95,Comedy,5.5,17583
tt0109508,movie,1994,Crumb,Crumb,119,"Biography,Comedy,Documentary",8.0,17580
tt0077663,movie,1978,Heaven Can Wait,Heaven Can Wait,101,"Comedy,Fantasy,Romance",6.9,17562
tt0434124,movie,2005,Kinky Boots,Kinky Boots,107,"Comedy,Drama,Music",7.1,17560
tt0050706,movie,1958,Mon Oncle,Mon oncle,116,Comedy,7.8,17550
tt3165608,movie,2013,Justin Bieber's Believe,Justin Bieber's Believe,92,"Documentary,Music",1.7,17531
tt1472584,movie,2016,Max Steel,Max Steel,92,"Action,Adventure,Family",4.6,17530
tt2509850,movie,2014,The Rewrite,The Rewrite,107,"Comedy,Romance",6.2,17529
tt4080956,movie,2017,A Prayer Before Dawn,A Prayer Before Dawn,116,"Biography,Crime,Drama",6.9,17526
tt0084335,movie,1982,Missing,Missing,122,"Biography,Drama,History",7.7,17525
tt2095649,movie,2014,Grace of Monaco,Grace of Monaco,103,"Biography,Drama,Romance",5.7,17524
tt0093407,movie,1987,Less Than Zero,Less Than Zero,98,"Crime,Drama",6.4,17521
tt0067445,movie,1971,Death in Venice,Morte a Venezia,130,Drama,7.4,17519
tt3672840,movie,2015,Dragon Blade,Tian jiang xiong shi,127,"Action,Adventure,Drama",6.0,17516
tt0133363,movie,1998,Lovers of the Arctic Circle,Los amantes del Círculo Polar,112,"Drama,Mystery,Romance",7.7,17511
tt0097737,movie,1989,Leviathan,Leviathan,98,"Adventure,Horror,Mystery",5.8,17510
