tconst,year,primaryTitle,originalTitle,runtimeMinutes,genres,averageRating
tt0111161,1994,The Shawshank Redemption,The Shawshank Redemption,142,Drama,9.3
tt0468569,2008,The Dark Knight,The Dark Knight,152,"Action,Crime,Drama",9.0
tt1375666,2010,Inception,Inception,148,"Action,Adventure,Sci-Fi",8.8
tt0137523,1999,Fight Club,Fight Club,139,Drama,8.8
tt0110912,1994,Pulp Fiction,Pulp Fiction,154,"Crime,Drama",8.9
tt0109830,1994,Forrest Gump,Forrest Gump,142,"Drama,Romance",8.8
tt0133093,1999,The Matrix,The Matrix,136,"Action,Sci-Fi",8.7
tt0120737,2001,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,178,"Action,Adventure,Drama",8.8
tt0167260,2003,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,201,"Adventure,Drama,Fantasy",8.9
tt0068646,1972,The Godfather,The Godfather,175,"Crime,Drama",9.2
tt1345836,2012,The Dark Knight Rises,The Dark Knight Rises,164,"Action,Adventure",8.4
tt0167261,2002,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,179,"Adventure,Drama,Fantasy",8.7
tt0816692,2014,Interstellar,Interstellar,169,"Adventure,Drama,Sci-Fi",8.6
tt0114369,1995,Se7en,Se7en,127,"Crime,Drama,Mystery",8.6
tt1853728,2012,Django Unchained,Django Unchained,165,"Drama,Western",8.4
tt0172495,2000,Gladiator,Gladiator,155,"Action,Adventure,Drama",8.5
tt0372784,2005,Batman Begins,Batman Begins,140,"Action,Adventure",8.2
tt0848228,2012,The Avengers,The Avengers,143,"Action,Adventure,Sci-Fi",8.0
tt0102926,1991,The Silence of the Lambs,The Silence of the Lambs,118,"Crime,Drama,Thriller",8.6
tt0361748,2009,Inglourious Basterds,Inglourious Basterds,153,"Adventure,Drama,War",8.3
tt0076759,1977,Star Wars: Episode IV - A New Hope,Star Wars,121,"Action,Adventure,Fantasy",8.6
tt0120815,1998,Saving Private Ryan,Saving Private Ryan,169,"Drama,War",8.6
tt0108052,1993,Schindler's List,Schindler's List,195,"Biography,Drama,History",8.9
tt0407887,2006,The Departed,The Departed,151,"Crime,Drama,Thriller",8.5
tt0482571,2006,The Prestige,The Prestige,130,"Drama,Mystery,Sci-Fi",8.5
tt0080684,1980,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back,124,"Action,Adventure,Fantasy",8.7
tt0993846,2013,The Wolf of Wall Street,The Wolf of Wall Street,180,"Biography,Crime,Drama",8.2
tt0499549,2009,Avatar,Avatar,162,"Action,Adventure,Fantasy",7.8
tt0120689,1999,The Green Mile,The Green Mile,189,"Crime,Drama,Fantasy",8.6
tt0209144,2000,Memento,Memento,113,"Mystery,Thriller",8.4
tt0071562,1974,The Godfather: Part II,The Godfather: Part II,202,"Crime,Drama",9.0
tt1130884,2010,Shutter Island,Shutter Island,138,"Mystery,Thriller",8.1
tt0169547,1999,American Beauty,American Beauty,122,Drama,8.3
tt2015381,2014,Guardians of the Galaxy,Guardians of the Galaxy,121,"Action,Adventure,Comedy",8.0
tt0120338,1997,Titanic,Titanic,194,"Drama,Romance",7.8
tt0120586,1998,American History X,American History X,119,Drama,8.5
tt0088763,1985,Back to the Future,Back to the Future,116,"Adventure,Comedy,Sci-Fi",8.5
tt0325980,2003,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,143,"Action,Adventure,Fantasy",8.0
tt0434409,2005,V for Vendetta,V for Vendetta,132,"Action,Drama,Sci-Fi",8.2
tt0110413,1994,Léon: The Professional,Léon,110,"Action,Crime,Drama",8.5
tt0099685,1990,Goodfellas,Goodfellas,146,"Biography,Crime,Drama",8.7
tt0103064,1991,Terminator 2: Judgment Day,Terminator 2: Judgment Day,137,"Action,Sci-Fi",8.5
tt0266697,2003,Kill Bill: Vol. 1,Kill Bill: Vol. 1,111,"Action,Crime,Thriller",8.1
tt0910970,2008,WALL·E,WALL·E,98,"Adventure,Animation,Family",8.4
tt0114814,1995,The Usual Suspects,The Usual Suspects,106,"Crime,Mystery,Thriller",8.5
tt0112573,1995,Braveheart,Braveheart,178,"Biography,Drama,History",8.3
tt0086190,1983,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode VI - Return of the Jedi,131,"Action,Adventure,Fantasy",8.3
tt0266543,2003,Finding Nemo,Finding Nemo,100,"Adventure,Animation,Comedy",8.1
tt0371746,2008,Iron Man,Iron Man,126,"Action,Adventure,Sci-Fi",7.9
tt0110357,1994,The Lion King,The Lion King,88,"Adventure,Animation,Drama",8.5
tt1049413,2009,Up,Up,96,"Adventure,Animation,Comedy",8.2
tt0120382,1998,The Truman Show,The Truman Show,103,"Comedy,Drama,Sci-Fi",8.1
tt0167404,1999,The Sixth Sense,The Sixth Sense,107,"Drama,Mystery,Thriller",8.1
tt0105236,1992,Reservoir Dogs,Reservoir Dogs,99,"Crime,Drama,Thriller",8.3
tt0073486,1975,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,133,Drama,8.7
tt0338013,2004,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,108,"Drama,Romance,Sci-Fi",8.3
tt1431045,2016,Deadpool,Deadpool,108,"Action,Adventure,Comedy",8.0
tt0082971,1981,Raiders of the Lost Ark,Raiders of the Lost Ark,115,"Action,Adventure",8.4
tt0114709,1995,Toy Story,Toy Story,81,"Adventure,Animation,Comedy",8.3
tt0081505,1980,The Shining,The Shining,146,"Drama,Horror",8.4
tt2488496,2015,Star Wars: Episode VII - The Force Awakens,Star Wars: Episode VII - The Force Awakens,138,"Action,Adventure,Sci-Fi",7.9
tt1392190,2015,Mad Max: Fury Road,Mad Max: Fury Road,120,"Action,Adventure,Sci-Fi",8.1
tt0107290,1993,Jurassic Park,Jurassic Park,127,"Action,Adventure,Sci-Fi",8.1
tt1392170,2012,The Hunger Games,The Hunger Games,142,"Action,Adventure,Sci-Fi",7.2
tt0119217,1997,Good Will Hunting,Good Will Hunting,126,"Drama,Romance",8.3
tt0268978,2001,A Beautiful Mind,A Beautiful Mind,135,"Biography,Drama",8.2
tt0477348,2007,No Country for Old Men,No Country for Old Men,122,"Crime,Drama,Thriller",8.1
tt2267998,2014,Gone Girl,Gone Girl,149,"Drama,Mystery,Thriller",8.1
tt0198781,2001,"Monsters, Inc.","Monsters, Inc.",92,"Adventure,Animation,Comedy",8.0
tt1010048,2008,Slumdog Millionaire,Slumdog Millionaire,120,"Drama,Romance",8.0
tt0264464,2002,Catch Me If You Can,Catch Me If You Can,141,"Biography,Crime,Drama",8.1
tt0088247,1984,The Terminator,The Terminator,107,"Action,Sci-Fi",8.0
tt4154756,2018,Avengers: Infinity War,Avengers: Infinity War,149,"Action,Adventure,Sci-Fi",8.5
tt0095016,1988,Die Hard,Die Hard,132,"Action,Thriller",8.2
tt0208092,2000,Snatch,Snatch,104,"Comedy,Crime",8.3
tt0078748,1979,Alien,Alien,117,"Horror,Sci-Fi",8.4
tt1454468,2013,Gravity,Gravity,91,"Drama,Sci-Fi,Thriller",7.7
tt0903624,2012,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,169,"Adventure,Family,Fantasy",7.8
tt0180093,2000,Requiem for a Dream,Requiem for a Dream,102,Drama,8.3
tt0401792,2005,Sin City,Sin City,124,"Crime,Thriller",8.0
tt7286456,2019,Joker,Joker,122,"Crime,Drama,Thriller",8.5
tt1300854,2013,Iron Man 3,Iron Man Three,130,"Action,Adventure,Sci-Fi",7.2
tt1201607,2011,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,130,"Adventure,Drama,Fantasy",8.1
tt0435761,2010,Toy Story 3,Toy Story 3,103,"Adventure,Animation,Comedy",8.3
tt0066921,1971,A Clockwork Orange,A Clockwork Orange,136,"Crime,Drama,Sci-Fi",8.3
tt3659388,2015,The Martian,The Martian,144,"Adventure,Drama,Sci-Fi",8.0
tt0246578,2001,Donnie Darko,Donnie Darko,113,"Drama,Mystery,Sci-Fi",8.0
tt0800369,2011,Thor,Thor,115,"Action,Adventure,Fantasy",7.0
tt1675434,2011,The Intouchables,Intouchables,112,"Biography,Comedy,Drama",8.5
tt0416449,2006,300,300,117,"Action,Drama",7.6
tt0458339,2011,Captain America: The First Avenger,Captain America: The First Avenger,124,"Action,Adventure,Sci-Fi",6.9
tt2395427,2015,Avengers: Age of Ultron,Avengers: Age of Ultron,141,"Action,Adventure,Sci-Fi",7.3
tt1843866,2014,Captain America: The Winter Soldier,Captain America: The Winter Soldier,136,"Action,Adventure,Sci-Fi",7.7
tt0086250,1983,Scarface,Scarface,170,"Crime,Drama",8.3
tt0120915,1999,Star Wars: Episode I - The Phantom Menace,Star Wars: Episode I - The Phantom Menace,136,"Action,Adventure,Fantasy",6.5
tt1205489,2008,Gran Torino,Gran Torino,116,Drama,8.1
tt0118715,1998,The Big Lebowski,The Big Lebowski,117,"Comedy,Crime,Sport",8.1
tt1119646,2009,The Hangover,The Hangover,100,Comedy,7.7
tt1228705,2010,Iron Man 2,Iron Man 2,124,"Action,Adventure,Sci-Fi",7.0
tt4154796,2019,Avengers: Endgame,Avengers: Endgame,181,"Action,Adventure,Drama",8.4
tt0253474,2002,The Pianist,The Pianist,150,"Biography,Drama,Music",8.5
tt0075314,1976,Taxi Driver,Taxi Driver,114,"Crime,Drama",8.3
tt0121766,2005,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,140,"Action,Adventure,Fantasy",7.5
tt0211915,2001,Amélie,Le fabuleux destin d'Amélie Poulain,122,"Comedy,Romance",8.3
tt0947798,2010,Black Swan,Black Swan,108,"Drama,Thriller",8.0
tt0317248,2002,City of God,Cidade de Deus,130,"Crime,Drama",8.6
tt0770828,2013,Man of Steel,Man of Steel,143,"Action,Adventure,Sci-Fi",7.1
tt2278388,2014,The Grand Budapest Hotel,The Grand Budapest Hotel,99,"Adventure,Comedy,Crime",8.1
tt2582802,2014,Whiplash,Whiplash,106,"Drama,Music",8.5
tt1663202,2015,The Revenant,The Revenant,156,"Action,Adventure,Biography",8.0
tt0145487,2002,Spider-Man,Spider-Man,121,"Action,Adventure,Sci-Fi",7.3
tt0097576,1989,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,127,"Action,Adventure",8.2
tt0083658,1982,Blade Runner,Blade Runner,117,"Action,Sci-Fi,Thriller",8.1
tt0480249,2007,I Am Legend,I Am Legend,101,"Adventure,Drama,Sci-Fi",7.2
tt0060196,1966,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",161,Western,8.8
tt0378194,2004,Kill Bill: Vol. 2,Kill Bill: Vol. 2,137,"Action,Crime,Thriller",8.0
tt2084970,2014,The Imitation Game,The Imitation Game,114,"Biography,Drama,Thriller",8.0
tt0050083,1957,12 Angry Men,12 Angry Men,96,Drama,8.9
tt1877832,2014,X-Men: Days of Future Past,X-Men: Days of Future Past,132,"Action,Adventure,Sci-Fi",8.0
tt0093058,1987,Full Metal Jacket,Full Metal Jacket,116,"Drama,War",8.3
tt1045658,2012,Silver Linings Playbook,Silver Linings Playbook,122,"Comedy,Drama,Romance",7.7
tt0892769,2010,How to Train Your Dragon,How to Train Your Dragon,98,"Action,Adventure,Animation",8.1
tt0383574,2006,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,151,"Action,Adventure,Fantasy",7.3
tt0317705,2004,The Incredibles,The Incredibles,115,"Action,Adventure,Animation",8.0
tt1270798,2011,X-Men: First Class,X: First Class,131,"Action,Adventure,Sci-Fi",7.7
tt0090605,1986,Aliens,Aliens,137,"Action,Adventure,Sci-Fi",8.3
tt3498820,2016,Captain America: Civil War,Captain America: Civil War,147,"Action,Adventure,Sci-Fi",7.8
tt1136608,2009,District 9,District 9,112,"Action,Sci-Fi,Thriller",7.9
tt1504320,2010,The King's Speech,The King's Speech,118,"Biography,Drama,History",8.0
tt0117951,1996,Trainspotting,Trainspotting,93,Drama,8.1
tt1074638,2012,Skyfall,Skyfall,143,"Action,Adventure,Thriller",7.7
tt0121765,2002,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,142,"Action,Adventure,Fantasy",6.5
tt0382932,2007,Ratatouille,Ratatouille,111,"Adventure,Animation,Comedy",8.0
tt0405159,2004,Million Dollar Baby,Million Dollar Baby,132,"Drama,Sport",8.1
tt2024544,2013,12 Years a Slave,12 Years a Slave,134,"Biography,Drama,History",8.1
tt3315342,2017,Logan,Logan,137,"Action,Drama,Sci-Fi",8.1
tt2975590,2016,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,151,"Action,Adventure,Sci-Fi",6.5
tt0241527,2001,Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone,152,"Adventure,Family,Fantasy",7.6
tt0245429,2001,Spirited Away,Sen to Chihiro no kamikakushi,125,"Adventure,Animation,Family",8.6
tt0457430,2006,Pan's Labyrinth,El laberinto del fauno,118,"Drama,Fantasy,War",8.2
tt1951264,2013,The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,146,"Action,Adventure,Sci-Fi",7.5
tt1285016,2010,The Social Network,The Social Network,120,"Biography,Drama",7.7
tt0440963,2007,The Bourne Ultimatum,The Bourne Ultimatum,115,"Action,Mystery,Thriller",8.0
tt0126029,2001,Shrek,Shrek,90,"Adventure,Animation,Comedy",7.8
tt0116282,1996,Fargo,Fargo,98,"Crime,Drama,Thriller",8.1
tt0118799,1997,Life Is Beautiful,La vita è bella,116,"Comedy,Drama,Romance",8.6
tt0418279,2007,Transformers,Transformers,144,"Action,Adventure,Sci-Fi",7.0
tt1170358,2013,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,161,"Adventure,Fantasy",7.8
tt0816711,2013,World War Z,World War Z,116,"Action,Adventure,Horror",7.0
tt0078788,1979,Apocalypse Now,Apocalypse Now,147,"Drama,Mystery,War",8.4
tt0449088,2007,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,169,"Action,Adventure,Fantasy",7.1
tt1670345,2013,Now You See Me,Now You See Me,115,"Crime,Mystery,Thriller",7.3
tt2096673,2015,Inside Out,Inside Out,95,"Adventure,Animation,Comedy",8.2
tt1631867,2014,Edge of Tomorrow,Edge of Tomorrow,113,"Action,Sci-Fi",7.9
tt0062622,1968,2001: A Space Odyssey,2001: A Space Odyssey,149,"Adventure,Sci-Fi",8.3
tt1386697,2016,Suicide Squad,Suicide Squad,123,"Action,Adventure,Fantasy",6.0
tt1825683,2018,Black Panther,Black Panther,134,"Action,Adventure,Sci-Fi",7.3
tt1981115,2013,Thor: The Dark World,Thor: The Dark World,112,"Action,Adventure,Fantasy",6.9
tt0054215,1960,Psycho,Psycho,109,"Horror,Mystery,Thriller",8.5
tt2802144,2014,Kingsman: The Secret Service,Kingsman: The Secret Service,129,"Action,Adventure,Comedy",7.7
tt0796366,2009,Star Trek,Star Trek,127,"Action,Adventure,Sci-Fi",7.9
tt0988045,2009,Sherlock Holmes,Sherlock Holmes,128,"Action,Adventure,Crime",7.6
tt0421715,2008,The Curious Case of Benjamin Button,The Curious Case of Benjamin Button,166,"Drama,Fantasy,Romance",7.8
tt0107048,1993,Groundhog Day,Groundhog Day,101,"Comedy,Fantasy,Romance",8.0
tt1392214,2013,Prisoners,Prisoners,153,"Crime,Drama,Mystery",8.1
tt0381061,2006,Casino Royale,Casino Royale,144,"Action,Adventure,Thriller",8.0
tt0369610,2015,Jurassic World,Jurassic World,124,"Action,Adventure,Sci-Fi",7.0
tt1211837,2016,Doctor Strange,Doctor Strange,115,"Action,Adventure,Fantasy",7.5
tt0454876,2012,Life of Pi,Life of Pi,127,"Adventure,Drama,Fantasy",7.9
tt0114746,1995,12 Monkeys,Twelve Monkeys,129,"Mystery,Sci-Fi,Thriller",8.0
tt2543164,2016,Arrival,Arrival,116,"Drama,Mystery,Sci-Fi",7.9
tt1637725,2012,Ted,Ted,106,Comedy,6.9
tt0120903,2000,X-Men,X-Men,104,"Action,Adventure,Sci-Fi",7.4
tt1024648,2012,Argo,Argo,120,"Biography,Drama,Thriller",7.7
tt1446714,2012,Prometheus,Prometheus,124,"Adventure,Mystery,Sci-Fi",7.0
tt0936501,2008,Taken,Taken,90,"Action,Thriller",7.8
tt2562232,2014,Birdman or (The Unexpected Virtue of Ignorance),Birdman or (The Unexpected Virtue of Ignorance),119,"Comedy,Drama",7.7
tt2294629,2013,Frozen,Frozen,102,"Adventure,Animation,Comedy",7.5
tt0113277,1995,Heat,Heat,170,"Crime,Drama,Thriller",8.2
tt0780504,2011,Drive,Drive,100,"Crime,Drama",7.8
tt0758758,2007,Into the Wild,Into the Wild,148,"Adventure,Biography,Drama",8.1
tt0948470,2012,The Amazing Spider-Man,The Amazing Spider-Man,136,"Action,Sci-Fi",6.9
tt3501632,2017,Thor: Ragnarok,Thor: Ragnarok,130,"Action,Adventure,Comedy",7.9
tt0478970,2015,Ant-Man,Ant-Man,117,"Action,Adventure,Comedy",7.3
tt2527336,2017,Star Wars: Episode VIII - The Last Jedi,Star Wars: Episode VIII - The Last Jedi,152,"Action,Adventure,Fantasy",7.0
tt3896198,2017,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2,136,"Action,Adventure,Comedy",7.6
tt0073195,1975,Jaws,Jaws,124,"Adventure,Drama,Thriller",8.0
tt3748528,2016,Rogue One: A Star Wars Story,Rogue One,133,"Action,Adventure,Sci-Fi",7.8
tt0316654,2004,Spider-Man 2,Spider-Man 2,127,"Action,Adventure,Sci-Fi",7.3
tt0451279,2017,Wonder Woman,Wonder Woman,141,"Action,Adventure,Fantasy",7.4
tt0295297,2002,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,161,"Adventure,Family,Fantasy",7.4
tt1276104,2012,Looper,Looper,113,"Action,Crime,Drama",7.4
tt0304141,2004,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,142,"Adventure,Family,Fantasy",7.9
tt0330373,2005,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,157,"Adventure,Family,Fantasy",7.7
tt0120735,1998,"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",107,"Comedy,Crime",8.2
tt1250777,2010,Kick-Ass,Kick-Ass,117,"Action,Adventure,Comedy",7.6
tt0116629,1996,Independence Day,Independence Day,145,"Action,Adventure,Sci-Fi",7.0
tt0119488,1997,L.A. Confidential,L.A. Confidential,138,"Crime,Drama,Mystery",8.2
tt1219289,2011,Limitless,Limitless,105,"Sci-Fi,Thriller",7.4
tt5013056,2017,Dunkirk,Dunkirk,106,"Action,Drama,History",7.9
tt1798709,2013,Her,Her,126,"Drama,Romance,Sci-Fi",8.0
tt0120363,1999,Toy Story 2,Toy Story 2,92,"Adventure,Animation,Comedy",7.9
tt0829482,2007,Superbad,Superbad,113,Comedy,7.6
tt2911666,2014,John Wick,John Wick,101,"Action,Crime,Thriller",7.4
tt1156398,2009,Zombieland,Zombieland,88,"Adventure,Comedy,Horror",7.6
tt0034583,1942,Casablanca,Casablanca,102,"Drama,Romance,War",8.5
tt0119654,1997,Men in Black,Men in Black,98,"Action,Adventure,Comedy",7.3
tt0290334,2003,X2: X-Men United,X2,134,"Action,Sci-Fi,Thriller",7.4
tt0234215,2003,The Matrix Reloaded,The Matrix Reloaded,138,"Action,Sci-Fi",7.2
tt0162222,2000,Cast Away,Cast Away,143,"Adventure,Drama,Romance",7.8
tt0332280,2004,The Notebook,The Notebook,123,"Drama,Romance",7.8
tt0075148,1976,Rocky,Rocky,120,"Drama,Sport",8.1
tt1232829,2012,21 Jump Street,21 Jump Street,109,"Action,Comedy,Crime",7.2
tt0240772,2001,Ocean's Eleven,Ocean's Eleven,116,"Crime,Thriller",7.8
tt0365748,2004,Shaun of the Dead,Shaun of the Dead,99,"Comedy,Horror",7.9
tt0258463,2002,The Bourne Identity,The Bourne Identity,119,"Action,Mystery,Thriller",7.9
tt0469494,2007,There Will Be Blood,There Will Be Blood,158,Drama,8.2
tt0181689,2002,Minority Report,Minority Report,145,"Action,Crime,Mystery",7.6
tt0364569,2003,Oldboy,Oldeuboi,120,"Action,Drama,Mystery",8.4
tt1318514,2011,Rise of the Planet of the Apes,Rise of the Planet of the Apes,105,"Action,Drama,Sci-Fi",7.6
tt0343818,2004,"I, Robot","I, Robot",115,"Action,Drama,Sci-Fi",7.1
tt1323594,2010,Despicable Me,Despicable Me,95,"Animation,Comedy,Family",7.6
tt0409459,2009,Watchmen,Watchmen,162,"Action,Drama,Mystery",7.6
tt0071853,1975,Monty Python and the Holy Grail,Monty Python and the Holy Grail,91,"Adventure,Comedy,Fantasy",8.2
tt3460252,2015,The Hateful Eight,The Hateful Eight,168,"Crime,Drama,Mystery",7.8
tt0413300,2007,Spider-Man 3,Spider-Man 3,139,"Action,Sci-Fi",6.2
tt0450259,2006,Blood Diamond,Blood Diamond,143,"Adventure,Drama,Thriller",8.0
tt0373889,2007,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,138,"Action,Adventure,Family",7.5
tt0467406,2007,Juno,Juno,96,"Comedy,Drama",7.4
tt2250912,2017,Spider-Man: Homecoming,Spider-Man: Homecoming,133,"Action,Adventure,Sci-Fi",7.4
tt0332452,2004,Troy,Troy,163,"Drama,History",7.2
tt1483013,2013,Oblivion,Oblivion,124,"Action,Adventure,Sci-Fi",7.0
tt3783958,2016,La La Land,La La Land,128,"Comedy,Drama,Music",8.0
tt0376994,2006,X-Men: The Last Stand,X-Men: The Last Stand,104,"Action,Sci-Fi",6.7
tt0945513,2011,Source Code,Source Code,93,"Action,Drama,Mystery",7.5
tt1298650,2011,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,136,"Action,Adventure,Fantasy",6.6
tt0144084,2000,American Psycho,American Psycho,101,"Comedy,Crime,Drama",7.6
tt0095953,1988,Rain Man,Rain Man,133,Drama,8.0
tt1022603,2009,500 Days of Summer,(500) Days of Summer,95,"Comedy,Drama,Romance",7.7
tt2310332,2014,The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies,144,"Adventure,Fantasy",7.4
tt1663662,2013,Pacific Rim,Pacific Rim,131,"Action,Adventure,Sci-Fi",6.9
tt1408101,2013,Star Trek Into Darkness,Star Trek Into Darkness,132,"Action,Adventure,Sci-Fi",7.7
tt1343092,2013,The Great Gatsby,The Great Gatsby,143,"Drama,Romance",7.2
tt0458525,2009,X-Men Origins: Wolverine,X-Men Origins: Wolverine,107,"Action,Adventure,Sci-Fi",6.6
tt1570728,2011,"Crazy, Stupid, Love.","Crazy, Stupid, Love.",118,"Comedy,Drama,Romance",7.4
tt0096874,1989,Back to the Future Part II,Back to the Future Part II,108,"Adventure,Comedy,Sci-Fi",7.8
tt5052448,2017,Get Out,Get Out,104,"Horror,Mystery,Thriller",7.7
tt0926084,2010,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Deathly Hallows: Part 1,146,"Adventure,Family,Fantasy",7.7
tt1411697,2011,The Hangover Part II,The Hangover Part II,102,Comedy,6.4
tt0470752,2014,Ex Machina,Ex Machina,108,"Drama,Mystery,Sci-Fi",7.7
tt0206634,2006,Children of Men,Children of Men,109,"Drama,Thriller",7.9
tt0425112,2007,Hot Fuzz,Hot Fuzz,121,"Action,Comedy,Mystery",7.8
tt0099785,1990,Home Alone,Home Alone,103,"Comedy,Family",7.6
tt0417741,2009,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,153,"Action,Adventure,Family",7.6
tt1229238,2011,Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol,132,"Action,Adventure,Thriller",7.4
tt5463162,2018,Deadpool 2,Deadpool 2,119,"Action,Adventure,Comedy",7.7
tt0112641,1995,Casino,Casino,178,"Crime,Drama",8.2
tt1659337,2012,The Perks of Being a Wallflower,The Perks of Being a Wallflower,103,"Drama,Romance",8.0
tt0289879,2004,The Butterfly Effect,The Butterfly Effect,113,"Drama,Sci-Fi,Thriller",7.6
tt0356910,2005,Mr. & Mrs. Smith,Mr. & Mrs. Smith,120,"Action,Comedy,Crime",6.5
tt1800241,2013,American Hustle,American Hustle,138,"Crime,Drama",7.2
tt2872718,2014,Nightcrawler,Nightcrawler,117,"Crime,Drama,Thriller",7.9
tt0057012,1964,Dr. Strangelove,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95,Comedy,8.4
tt0242653,2003,The Matrix Revolutions,The Matrix Revolutions,129,"Action,Sci-Fi",6.8
tt0099487,1990,Edward Scissorhands,Edward Scissorhands,105,"Drama,Fantasy,Romance",7.9
tt0448157,2008,Hancock,Hancock,92,"Action,Fantasy",6.4
tt0087469,1984,Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom,118,"Action,Adventure",7.6
tt1396484,2017,It,It,135,Horror,7.3
tt0454921,2006,The Pursuit of Happyness,The Pursuit of Happyness,117,"Biography,Drama",8.0
tt0449059,2006,Little Miss Sunshine,Little Miss Sunshine,101,"Comedy,Drama",7.8
tt0443706,2007,Zodiac,Zodiac,157,"Crime,Drama,Mystery",7.7
tt2872732,2014,Lucy,Lucy,89,"Action,Sci-Fi,Thriller",6.4
tt0268380,2002,Ice Age,Ice Age,81,"Adventure,Animation,Comedy",7.5
tt1457767,2013,The Conjuring,The Conjuring,112,"Horror,Mystery,Thriller",7.5
tt0372183,2004,The Bourne Supremacy,The Bourne Supremacy,108,"Action,Mystery,Thriller",7.7
tt0047396,1954,Rear Window,Rear Window,112,"Mystery,Thriller",8.4
tt0790636,2013,Dallas Buyers Club,Dallas Buyers Club,117,"Biography,Drama",8.0
tt1856101,2017,Blade Runner 2049,Blade Runner 2049,164,"Action,Drama,Mystery",8.0
tt2179136,2014,American Sniper,American Sniper,133,"Action,Biography,Drama",7.3
tt1291584,2011,Warrior,Warrior,140,"Drama,Sport",8.2
tt0800080,2008,The Incredible Hulk,The Incredible Hulk,112,"Action,Adventure,Sci-Fi",6.7
tt0119116,1997,The Fifth Element,The Fifth Element,126,"Action,Adventure,Sci-Fi",7.7
tt7131622,2019,Once Upon a Time... in Hollywood,Once Upon a Time... in Hollywood,161,"Comedy,Drama",7.7
tt1430132,2013,The Wolverine,The Wolverine,126,"Action,Adventure,Sci-Fi",6.7
tt1727824,2018,Bohemian Rhapsody,Bohemian Rhapsody,134,"Biography,Drama,Music",8.0
tt1840309,2014,Divergent,Divergent,139,"Action,Adventure,Mystery",6.7
tt1979320,2013,Rush,Rush,123,"Biography,Drama,Sport",8.1
tt0375679,2004,Crash,Crash,112,"Crime,Drama,Thriller",7.8
tt1499658,2011,Horrible Bosses,Horrible Bosses,98,"Comedy,Crime",6.9
tt0314331,2003,Love Actually,Love Actually,135,"Comedy,Drama,Romance",7.6
tt0367882,2008,Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Kingdom of the Crystal Skull,122,"Action,Adventure",6.1
tt1535108,2013,Elysium,Elysium,109,"Action,Drama,Sci-Fi",6.6
tt2948356,2016,Zootopia,Zootopia,108,"Adventure,Animation,Comedy",8.0
tt1454029,2011,The Help,The Help,146,Drama,8.1
tt1099212,2008,Twilight,Twilight,122,"Drama,Fantasy,Romance",5.2
tt1515091,2011,Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows,129,"Action,Adventure,Crime",7.5
tt0887912,2008,The Hurt Locker,The Hurt Locker,131,"Drama,Thriller,War",7.6
tt0367594,2005,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,115,"Adventure,Comedy,Family",6.6
tt0101414,1991,Beauty and the Beast,Beauty and the Beast,84,"Animation,Family,Fantasy",8.0
