tconst,year,primaryTitle,originalTitle,runtimeMinutes,genres,averageRating
tt0161081,2000,What Lies Beneath,What Lies Beneath,130,"Drama,Fantasy,Horror",6.6
tt7975244,2019,Jumanji: The Next Level,Jumanji: The Next Level,123,"Action,Adventure,Comedy",6.7
tt0790736,2013,R.I.P.D.,R.I.P.D.,96,"Action,Comedy,Crime",5.6
tt0033563,1941,Dumbo,Dumbo,64,"Animation,Drama,Family",7.2
tt0482606,2008,The Strangers,The Strangers,86,"Horror,Mystery,Thriller",6.2
tt1524137,2012,Contraband,Contraband,109,"Action,Crime,Drama",6.5
tt0120783,1998,The Parent Trap,The Parent Trap,128,"Adventure,Comedy,Drama",6.5
tt0100814,1990,Tremors,Tremors,96,"Comedy,Horror",7.1
tt0118694,2000,In the Mood for Love,Faa yeung nin wa,98,"Drama,Romance",8.1
tt4052882,2016,The Shallows,The Shallows,86,"Drama,Horror,Thriller",6.3
tt0112642,1995,Casper,Casper,100,"Comedy,Family,Fantasy",6.1
tt0216216,2000,The 6th Day,The 6th Day,123,"Action,Mystery,Sci-Fi",5.9
tt0355295,2005,The Brothers Grimm,The Brothers Grimm,118,"Action,Adventure,Comedy",5.9
tt0120657,1999,The 13th Warrior,The 13th Warrior,102,"Action,Adventure,History",6.6
tt0103855,1992,The Bodyguard,The Bodyguard,129,"Action,Drama,Music",6.3
tt1000774,2008,Sex and the City,Sex and the City,145,"Comedy,Drama,Romance",5.6
tt3741700,2019,Godzilla: King of the Monsters,Godzilla: King of the Monsters,132,"Action,Adventure,Fantasy",6.1
tt0876563,2008,Ponyo,Gake no ue no Ponyo,101,"Adventure,Animation,Comedy",7.7
tt0293508,2004,The Phantom of the Opera,The Phantom of the Opera,143,"Drama,Musical,Romance",7.3
tt0120794,1998,The Prince of Egypt,The Prince of Egypt,99,"Adventure,Animation,Drama",7.1
tt0480025,2006,This Is England,This Is England,101,"Crime,Drama",7.7
tt0290673,2002,Irréversible,Irréversible,97,"Crime,Drama,Mystery",7.4
tt1638002,2014,"Love, Rosie","Love, Rosie",102,"Comedy,Romance",7.2
tt0112431,1995,Babe,Babe,91,"Comedy,Drama,Family",6.7
tt0758730,2007,Aliens vs. Predator: Requiem,AVPR: Aliens vs Predator - Requiem,94,"Action,Horror,Sci-Fi",4.7
tt0113749,1995,Mallrats,Mallrats,94,"Comedy,Romance",7.1
tt5462602,2017,The Big Sick,The Big Sick,120,"Comedy,Drama,Romance",7.5
tt0080761,1980,Friday the 13th,Friday the 13th,95,"Horror,Mystery,Thriller",6.5
tt1937390,2013,Nymphomaniac: Vol. I,Nymphomaniac: Vol. I,117,Drama,6.9
tt4302938,2016,Kubo and the Two Strings,Kubo and the Two Strings,101,"Action,Adventure,Animation",7.8
tt2388715,2013,Oculus,Oculus,104,"Horror,Mystery",6.5
tt0486946,2007,Wild Hogs,Wild Hogs,100,"Action,Adventure,Comedy",5.8
tt1355630,2014,If I Stay,If I Stay,107,"Drama,Fantasy,Music",6.7
tt0397065,2005,House of Wax,House of Wax,113,"Horror,Thriller",5.3
tt1201167,2009,Funny People,Funny People,146,"Comedy,Drama",6.3
tt1086772,2014,Blended,Blended,117,"Comedy,Romance",6.5
tt0107977,1993,Robin Hood: Men in Tights,Robin Hood: Men in Tights,104,"Adventure,Comedy,Musical",6.7
tt0057076,1963,From Russia with Love,From Russia with Love,115,"Action,Adventure,Thriller",7.4
tt0106918,1993,The Firm,The Firm,154,"Drama,Mystery,Thriller",6.8
tt0870984,2009,Antichrist,Antichrist,108,"Drama,Horror",6.6
tt0822847,2011,Priest,Priest,87,"Action,Horror,Thriller",5.7
tt5052474,2018,Sicario: Day of the Soldado,Sicario: Day of the Soldado,122,"Action,Crime,Drama",7.1
tt1615147,2011,Margin Call,Margin Call,107,"Drama,Thriller",7.1
tt0265459,2002,One Hour Photo,One Hour Photo,96,"Drama,Thriller",6.8
tt0245574,2001,Y Tu Mamá También,Y tu mamá también,106,Drama,7.6
tt1132626,2008,Saw V,Saw V,92,"Horror,Mystery,Thriller",5.8
tt4172430,2016,13 Hours,13 Hours,144,"Action,Drama,History",7.3
tt0453451,2007,Mr. Bean's Holiday,Mr. Bean's Holiday,90,"Comedy,Family",6.4
tt0079116,1979,Escape from Alcatraz,Escape from Alcatraz,112,"Biography,Crime,Drama",7.6
tt0063350,1968,Night of the Living Dead,Night of the Living Dead,96,Horror,7.9
tt0817230,2010,Valentine's Day,Valentine's Day,125,"Comedy,Romance",5.7
tt0113627,1995,Leaving Las Vegas,Leaving Las Vegas,111,"Drama,Romance",7.5
tt1228987,2010,Let Me In,Let Me In,116,"Drama,Fantasy,Horror",7.1
tt1131734,2009,Jennifer's Body,Jennifer's Body,102,"Comedy,Horror",5.2
tt0362120,2006,Scary Movie 4,Scary Movie 4,83,"Comedy,Horror",5.1
tt0120632,1998,City of Angels,City of Angels,114,"Drama,Fantasy,Romance",6.7
tt0092965,1987,Empire of the Sun,Empire of the Sun,153,"Action,Drama,History",7.8
tt0223897,2000,Pay It Forward,Pay It Forward,123,Drama,7.2
tt0162346,2001,Ghost World,Ghost World,111,"Comedy,Drama",7.3
tt0314353,2003,Tears of the Sun,Tears of the Sun,121,"Action,Drama,Thriller",6.6
tt2884206,2014,I Origins,I Origins,106,"Drama,Romance,Sci-Fi",7.4
tt1179034,2010,From Paris with Love,From Paris with Love,92,"Action,Crime,Thriller",6.5
tt0097814,1989,Kiki's Delivery Service,Majo no takkyûbin,103,"Adventure,Animation,Drama",7.9
tt0084827,1982,TRON,TRON,96,"Action,Adventure,Sci-Fi",6.8
tt0070608,1973,Robin Hood,Robin Hood,83,"Adventure,Animation,Comedy",7.6
tt0085959,1983,The Meaning of Life,The Meaning of Life,107,"Comedy,Musical",7.6
tt0146838,1999,Any Given Sunday,Any Given Sunday,162,"Drama,Sport",6.9
tt1904996,2013,Parker,Parker,118,"Action,Crime,Thriller",6.2
tt0114069,1995,Outbreak,Outbreak,127,"Action,Drama,Thriller",6.6
tt4276820,2016,The Founder,The Founder,115,"Biography,Drama,History",7.2
tt3531824,2016,Nerve,Nerve,96,"Adventure,Crime,Drama",6.5
tt6450804,2019,Terminator: Dark Fate,Terminator: Dark Fate,128,"Action,Adventure,Sci-Fi",6.3
tt2265171,2014,The Raid 2,Serbuan Maut 2: Berandal,150,"Action,Crime,Thriller",8.0
tt0421239,2005,Red Eye,Red Eye,85,"Action,Mystery,Thriller",6.4
tt7040874,2018,A Simple Favor,A Simple Favor,117,"Comedy,Crime,Drama",6.8
tt0084726,1982,Star Trek II: The Wrath of Khan,Star Trek II: The Wrath of Khan,113,"Action,Adventure,Sci-Fi",7.7
tt1821549,2013,Nebraska,Nebraska,115,"Adventure,Comedy,Drama",7.7
tt0365907,2014,A Walk Among the Tombstones,A Walk Among the Tombstones,114,"Action,Crime,Drama",6.5
tt0373051,2008,Journey to the Center of the Earth,Journey to the Center of the Earth,93,"Action,Adventure,Family",5.8
tt0435651,2014,The Giver,The Giver,97,"Drama,Romance,Sci-Fi",6.5
tt4438848,2016,Neighbors 2: Sorority Rising,Neighbors 2: Sorority Rising,92,Comedy,5.7
tt0096320,1988,Twins,Twins,107,"Comedy,Crime",6.1
tt0087928,1984,Police Academy,Police Academy,96,Comedy,6.7
tt0040897,1948,The Treasure of the Sierra Madre,The Treasure of the Sierra Madre,126,"Adventure,Drama,Western",8.2
tt1067583,2011,Water for Elephants,Water for Elephants,120,"Drama,Romance",6.9
tt1517260,2013,The Host,The Host,125,"Action,Adventure,Drama",5.9
tt0101410,1991,Barton Fink,Barton Fink,116,"Comedy,Drama,Thriller",7.7
tt0077975,1978,National Lampoon's Animal House,National Lampoon's Animal House,109,Comedy,7.5
tt4651520,2016,Bad Moms,Bad Moms,100,Comedy,6.2
tt8106534,2019,6 Underground,6 Underground,128,"Action,Comedy,Thriller",6.1
tt4786282,2016,Lights Out,Lights Out,81,"Drama,Horror,Mystery",6.3
tt3829266,2018,The Predator,The Predator,107,"Action,Adventure,Sci-Fi",5.4
tt2402927,2015,Carol,Carol,118,"Drama,Romance",7.2
tt0455407,2010,The Crazies,The Crazies,101,"Horror,Thriller",6.5
tt0424095,2006,Flushed Away,Flushed Away,85,"Adventure,Animation,Comedy",6.6
tt0907657,2007,Once,Once,86,"Drama,Music,Romance",7.8
tt1860213,2016,Dirty Grandpa,Dirty Grandpa,102,Comedy,5.9
tt3567288,2015,The Visit,The Visit,94,"Horror,Mystery,Thriller",6.2
tt1911644,2013,The Call,The Call,94,"Crime,Drama,Horror",6.7
tt1547234,2012,Premium Rush,Premium Rush,91,"Action,Thriller",6.5
tt0337741,2003,Something's Gotta Give,Something's Gotta Give,128,"Comedy,Drama,Romance",6.7
tt1924429,2013,Trance,Trance,101,"Crime,Drama,Mystery",6.9
tt0462590,2006,Step Up,Step Up,104,"Crime,Drama,Music",6.5
tt1071875,2011,Ghost Rider: Spirit of Vengeance,Ghost Rider: Spirit of Vengeance,96,"Action,Fantasy,Thriller",4.3
tt0077402,1978,Dawn of the Dead,Dawn of the Dead,127,"Horror,Thriller",7.9
tt1502407,2018,Halloween,Halloween,106,"Horror,Thriller",6.6
tt0765010,2009,Brothers,Brothers,105,"Action,Drama,Thriller",7.1
tt0329101,2003,Freddy vs. Jason,Freddy vs. Jason,97,"Action,Horror",5.7
tt0118617,1997,Anastasia,Anastasia,94,"Adventure,Animation,Drama",7.1
tt0113492,1995,Judge Dredd,Judge Dredd,96,"Action,Crime,Sci-Fi",5.6
tt0133751,1998,The Faculty,The Faculty,104,"Horror,Sci-Fi",6.5
tt0327554,2004,Catwoman,Catwoman,104,"Action,Crime,Fantasy",3.4
tt0190138,2000,The Whole Nine Yards,The Whole Nine Yards,98,"Comedy,Crime",6.7
tt0263488,2001,Jeepers Creepers,Jeepers Creepers,90,"Horror,Mystery",6.2
tt0430357,2006,Miami Vice,Miami Vice,132,"Action,Crime,Thriller",6.0
tt0182789,1999,Bicentennial Man,Bicentennial Man,132,"Comedy,Drama,Sci-Fi",6.9
tt2404311,2013,The Family,The Family,111,"Comedy,Crime,Thriller",6.3
tt1854564,2013,Percy Jackson: Sea of Monsters,Percy Jackson: Sea of Monsters,106,"Adventure,Family,Fantasy",5.8
tt5814060,2018,The Nun,The Nun,96,"Horror,Mystery,Thriller",5.3
tt0366627,2005,The Jacket,The Jacket,103,"Drama,Fantasy,Mystery",7.1
tt0117218,1996,The Nutty Professor,The Nutty Professor,95,"Comedy,Romance,Sci-Fi",5.6
tt0472062,2007,Charlie Wilson's War,Charlie Wilson's War,102,"Biography,Comedy,Drama",7.0
tt0079944,1979,Stalker,Stalker,162,"Drama,Sci-Fi",8.2
tt0373883,2007,Halloween,Halloween,109,Horror,6.1
tt0795368,2007,Death at a Funeral,Death at a Funeral,90,Comedy,7.4
tt4857264,2016,The Invisible Guest,Contratiempo,106,"Crime,Mystery,Thriller",8.1
tt0250687,2001,Rat Race,Rat Race,112,"Adventure,Comedy",6.4
tt6412452,2018,The Ballad of Buster Scruggs,The Ballad of Buster Scruggs,133,"Comedy,Drama,Musical",7.3
tt1023114,2010,The Way Back,The Way Back,133,"Adventure,Drama,History",7.3
tt0309987,2003,The Dreamers,The Dreamers,115,"Drama,Romance",7.2
